DSPT_REQ_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff,FIRE_SUPESN_HR_log,DSPT_REQ_HR_log,FRSTN_GRNDS_DSTNC_log,CNTR_GRNDS_DSTNC_log,LFDAU_GRNDS_DSTNC_log,arrival_time_diff_log,dispatch_time_diff_log
446,15,74,9,6,-1.0,0,0,2,6.2,2.0,6,61.0,1,547.0,1,11,101.0,10.320387038269956,6.102558594613569,2.302585092994046,1.9459101490553132,-inf,6.306275286948016,4.624972813284271
490,16,194,21,9,-1.0,2,2,3,29.7,2.0,7,65.0,1,617.0,0,6,127.0,8.4252971767117,6.19644412779452,3.091042453358316,2.302585092994046,-inf,6.42648845745769,4.852030263919617
670,1,123,29,21,7.0,1,1,1,17.6,2.0,7,16.0,1,767.0,0,5,97.0,8.388677769180811,6.508769136971682,3.4011973816621555,3.091042453358316,2.0794415416798357,6.643789733147672,4.584967478670572
415,11,89,4,3,-1.0,2,2,1,12.8,2.0,5,55.0,1,476.0,1,5,61.0,8.01565761455734,6.030685260261263,1.6094379124341003,1.3862943611198906,-inf,6.1675164908883415,4.127134385045092
812,12,219,7,21,-1.0,2,2,3,6.5,2.0,8,29.0,1,835.0,0,2,23.0,9.103089181229207,6.70073110954781,2.0794415416798357,3.091042453358316,-inf,6.728628613084702,3.1780538303479458
643,1,160,28,7,2.0,2,2,1,26.5,2.0,8,54.0,1,745.0,0,7,102.0,4.795790545596741,6.467698726104354,3.367295829986474,2.0794415416798357,1.0986122886681098,6.61472560020376,4.634728988229636
497,12,32,37,4,-1.0,2,2,1,2.4,2.0,7,45.0,1,573.0,0,1,76.0,8.314097335405807,6.210600077024653,3.6375861597263857,1.6094379124341003,-inf,6.352629396319567,4.343805421853684
1016,12,219,27,20,10.0,2,2,2,22.5,2.0,8,44.0,1,1148.0,0,4,132.0,8.782936356349264,6.92461239604856,3.332204510175204,3.044522437723423,2.3978952727983707,7.046647277848756,4.890349128221754
617,1,125,5,5,-1.0,2,2,1,32.0,2.0,7,14.0,1,682.0,0,5,65.0,7.069023426578259,6.42648845745769,1.791759469228055,1.791759469228055,-inf,6.52649485957079,4.189654742026425
715,12,22,31,7,-1.0,2,2,2,7.1,2.0,7,34.0,1,735.0,0,3,20.0,8.916103530553727,6.573680166960646,3.4657359027997265,2.0794415416798357,-inf,6.601230118728877,3.044522437723423
454,1,205,34,20,8.0,1,1,1,16.0,2.0,7,26.0,1,563.0,0,5,109.0,8.609590040682205,6.12029741895095,3.5553480614894135,3.044522437723423,2.1972245773362196,6.335054251498059,4.700480365792417
323,1,160,10,10,2.0,2,2,1,23.8,2.0,8,60.0,1,383.0,1,6,60.0,6.042632833682381,5.780743515792329,2.3978952727983707,2.3978952727983707,1.0986122886681098,5.950642552587727,4.110873864173311
412,3,15,11,11,1.0,2,2,2,25.8,2.0,6,49.0,1,533.0,0,5,121.0,9.69430854157229,6.023447592961033,2.4849066497880004,2.4849066497880004,0.6931471805599453,6.280395838960195,4.804021044733257
582,10,62,12,10,-1.0,1,1,2,4.6,-1.0,5,18.0,1,707.0,0,2,125.0,7.9287663216266955,6.368187186350492,2.5649493574615367,2.3978952727983707,-inf,6.56244409369372,4.836281906951478
1477,13,144,42,18,25.0,2,2,1,13.3,2.0,6,37.0,1,1477.0,0,11,0.0,8.933927891782632,7.298445101508147,3.7612001156935624,2.9444389791664403,3.258096538021482,7.298445101508147,0.0
1024,1,29,10,5,-1.0,2,2,1,5.0,2.0,8,19.0,1,1084.0,0,1,60.0,7.13966033596492,6.932447891572509,2.3978952727983707,1.791759469228055,-inf,6.98933526597456,4.110873864173311
932,11,173,7,3,-1.0,2,2,3,16.6,2.0,3,40.0,1,1006.0,0,10,74.0,5.0106352940962555,6.838405200847344,2.0794415416798357,1.3862943611198906,-inf,6.914730892718563,4.31748811353631
572,1,115,5,5,-1.0,2,2,3,-2.5,2.0,3,0.0,1,662.0,1,11,90.0,5.720311776607412,6.35088571671474,1.791759469228055,1.791759469228055,-inf,6.4967749901858625,4.51085950651685
182,16,193,14,2,-1.0,2,2,3,0.0,-1.0,0,0.0,1,245.0,0,12,63.0,8.65067458279072,5.209486152841421,2.70805020110221,1.0986122886681098,-inf,5.5053315359323625,4.1588830833596715
687,3,112,33,12,-1.0,2,2,1,11.9,2.0,3,66.0,1,738.0,0,11,51.0,8.361708288575842,6.5337888379333435,3.5263605246161616,2.5649493574615367,-inf,6.6052979209482015,3.9512437185814275
1205,1,1,27,27,14.0,2,2,1,14.0,6.5,7,29.0,1,1283.0,0,11,78.0,8.15708378502887,7.095064377287131,3.332204510175204,3.332204510175204,2.70805020110221,7.157735484249907,4.3694478524670215
323,15,74,19,5,-1.0,2,2,3,19.9,2.0,7,79.0,1,411.0,0,6,88.0,7.568379267836522,5.780743515792329,2.995732273553991,1.791759469228055,-inf,6.021023349349527,4.48863636973214
368,12,7,9,9,3.0,2,2,1,29.0,2.0,1,41.0,1,398.0,0,6,30.0,6.90975328164481,5.910796644040527,2.302585092994046,2.302585092994046,1.3862943611198906,5.988961416889864,3.4339872044851463
988,1,117,6,4,-1.0,1,1,2,20.2,2.0,3,61.0,1,1072.0,0,10,84.0,8.319229938632326,6.8966943316227125,1.9459101490553132,1.6094379124341003,-inf,6.9782137426306985,4.442651256490317
962,1,97,4,6,-1.0,2,2,3,28.3,2.0,6,42.0,1,1047.0,0,7,85.0,8.061486866871327,6.870053411798126,1.6094379124341003,1.9459101490553132,-inf,6.954638864880987,4.454347296253507
478,0,135,5,5,-1.0,2,2,2,31.0,2.0,8,28.0,1,519.0,0,5,41.0,8.639764743804419,6.171700597410915,1.791759469228055,1.791759469228055,-inf,6.253828811575473,3.7376696182833684
384,1,106,2,2,-1.0,2,2,1,22.3,2.0,6,0.0,1,423.0,0,10,39.0,5.7745515455444085,5.953243334287785,1.0986122886681098,1.0986122886681098,-inf,6.049733455231958,3.6888794541139363
621,12,129,8,8,8.0,2,2,1,26.7,2.0,6,48.0,1,681.0,0,5,60.0,8.498010371999463,6.432940092739179,2.1972245773362196,2.1972245773362196,2.1972245773362196,6.525029657843462,4.110873864173311
