WRINV_NO,FIRE_TYPE_NM,SMTPR_LCLSF_NM,SMTPR_SCLSF_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,DOW_NM,FRSTN_NM,CNTR_NM,RCPT_DT,DSPT_DT,GRNDS_ARVL_DT,BGNN_POTFR_DT,PRFECT_POTFR_DT,CBK_DT,DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,SO_AREA,FIRE_INSRNC_OBLG_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM
190129185914614,임야,,,0,0,0,3432,화,담양소방서,담양119안전센터,20190129142854,20190129143014,20190129144710,20190129152725,20190129165025,20190129173145,1016,7395,전라남도,담양군,14,12,5.0,"불꽃, 불티","불꽃, 불티",부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산중턱,8.6,0~4 m/s,북서,25.0
190710164859611,임야,,,0,0,0,0,수,시흥소방서,연성119안전센터,20190710145103,20190710145243,20190710150340,20190710150924,20190710151557,20190710163000,657,737,경기도,시흥시,18,7,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등",건초,,,"종이,목재,건초등",건초,임야,산불,사유림,,N,N,N,사유림,산아래,26.0,0~4 m/s,북,98.0
190213185344530,임야,,,0,0,0,192,수,사상소방서,학장119안전센터,20190213153329,20190213153359,20190213154827,20190213170954,20190213172703,20190213184112,868,5916,부산광역시,사상구,8,6,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,사유림,,N,N,N,사유림,산중턱,5.3,0~4 m/s,북서,23.0
190315183027143,임야,,,0,0,0,55,금,통영소방서,소방정대,20190315155001,20190315155402,20190315165523,20190315171042,20190315171542,20190315173442,3681,1219,경상남도,통영시,30,25,0.0,자연적 발화열,자연적 발화열,자연적인 요인,자연적 재해,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,사유림,,N,N,N,사유림,평지,7.4,9~12 m/s,서,71.0
191215185605971,임야,,,0,0,0,0,일,울진소방서,온정119안전센터,20191215151503,20191215151548,20191215151930,20191215152219,20191215152704,20191215172113,222,454,경상북도,울진군,47,1,0.0,"불꽃, 불티","불꽃, 불티",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산중턱,10.6,0~4 m/s,남동,61.0
190624164140739,임야,,,0,0,0,720,월,영광소방서,홍농119안전센터,20190624103503,20190624103633,20190624104001,20190624110814,20190624112030,20190624114025,208,2429,전라남도,영광군,10,10,3.0,"불꽃, 불티","불꽃, 불티",부주의,"논,임야태우기","종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산아래,26.0,0~4 m/s,남서,63.0
190627165821623,임야,,,0,0,0,27,목,화성소방서,팔탄119안전센터,20190627152307,20190627152516,20190627152828,20190627154111,20190627154534,20190627161316,192,1026,경기도,화성시,10,10,3.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,사유림,,N,N,N,사유림,산중턱,27.1,0~4 m/s,남서,63.0
190707183438468,임야,,,0,0,0,550,일,강화소방서,내가119안전센터,20190707155058,20190707155152,20190707155755,20190707162352,20190707162829,20190707170945,363,1834,인천광역시,강화군,12,1,0.0,"불꽃, 불티","불꽃, 불티",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,사유림,,N,N,N,사유림,산중턱,30.4,5~8 m/s,남동,38.0
190604212453810,임야,,,0,0,0,2307,화,정선소방서,조양119안전센터,20190604141415,20190604141510,20190604141924,20190604152609,20190604162148,20190604183400,254,7344,강원특별자치도,정선군,18,18,1.0,미상(발화원인),미상(발화원인),미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,사유림,,N,N,N,사유림,산중턱,29.0,0~4 m/s,남,21.0
190709155136714,임야,,,0,0,0,0,화,서산소방서,성연119안전센터,20190709142246,20190709142448,20190709142948,20190709143548,20190709144048,20190709150000,300,660,충청남도,서산시,20,15,4.0,"불꽃, 불티","불꽃, 불티",부주의,"용접, 절단, 연마",기타,기타,,,,,임야,산불,사유림,,N,N,N,사유림,평지,28.2,5~8 m/s,동,42.0
